provider_name,provider_id,url,SPP_api_url,gbfs_api_url
JUMP,c20e08cf-8488-46a6-a66c-5d8fb827f7e0,https://jump.com,https://api.uber.com/v0.2/emobility/SPP,
Lime,63f13c48-34ff-49d2-aca7-cf6a5b6171c3,https://li.me,https://data.lime.bike/api/partners/v1/SPP,
Bird,2411d395-04f2-47c9-ab66-d09e9e3c3251,https://www.bird.co,https://SPP.bird.co,https://SPP.bird.co/gbfs
Razor,6ddcc0ad-1d66-4046-bba4-d1d96bb8ca4d,https://www.razor.com/share,https://razor-200806.appspot.com/api/v2/SPP,
Lyft,e714f168-ce56-4b41-81b7-0b6a4bd26128,https://www.lyft.com,https://api.lyft.com/v1/last-mile/SPP,
Skip,d73fcf80-22b1-450f-b535-042b4e30aac7,https://www.skipscooters.com,https://api.skipscooters.com/SPP,
HOPR,2e4cb206-b475-4a9d-80fb-0880c9a033e0,https://gohopr.com,https://gbfs.hopr.city/api/SPP,
Wheels,b79f8687-526d-4ae6-80bf-89b4c44dc071,https://wheels.co,https://SPP.getwheelsapp.com,
Spin,70aa475d-1fcd-4504-b69c-2eeb2107f7be,https://www.spin.app,https://web.spin.pm/api/SPP/v1,
WIND,d56d2df6-fa92-43de-ab61-92c3a84acd7d,https://www.wind.co,https://partners.wind.co/v1/SPP,
Tier,264aad41-b47c-415d-8585-0208d436516e,https://www.tier.app,https://partner.tier-services.io/SPP,
Cloud,bf95148b-d1d1-464e-a140-6d2563ac43d4,https://www.cloud.tt,https://SPP.cloud.tt,https://SPP.cloud.tt/gbfs
BlueLA,f3c5a65d-fd85-463e-9564-fc95ea473f7d,https://www.bluela.com,https://api.bluela.com/SPP/v0,https://api.bluela.com/gbfs/v1/meta
Bolt,3291c288-c9c8-42f1-bc3e-8502b077cd7f,https://www.micromobility.com/,https://bolt.miami/bolt2/api/SPP,
CLEVR,daecbe87-a9f2-4a5a-b5df-8e3e14180513,https://clevrmobility.com,https://portal.clevrmobility.com/api/SPP,
SherpaLA,3c95765d-4da6-41c6-b61e-1954472ec6c9,,https://SPP.bird.co,https://SPP.bird.co/gbfs/platform-partner/sherpa-la
OjO Electric,8d293326-8464-4256-8312-617ebcd0efad,https://www.ojoelectric.com,https://api.ojoelectric.com/api/SPP,https://api.ojoelectric.com/api/SPP/gbfs.json
VOI,1f129e3f-158f-4df5-af9c-a80de238e334,https://www.voiscooters.com/,https://SPP.voiapp.io,https://SPP.voiapp.io/v1/gbfs
MOVO,40dad54c-e199-4fd8-9f5b-cff93ffced63,https://movo.me,https://SPP.movo.me,https://gbfs.movo.me
Baus,638ba503-4006-4c53-bf34-cd625cc03d61,https://bausmoves.com,https://SPP.bird.co,https://SPP.bird.co/gbfs/platform-partner/v2/baus
Bolt Technology,7ea695ca-9de7-4b3b-9f3c-241b2045a1fe,https://bolt.eu,https://SPP.bolt.eu,https://SPP.bolt.eu/gbfs/1
Grin,8a0ecfce-5fb3-451e-8069-434b79c8b01a,https://ongrin.com,https://open-data.grow.mobi/SPP/,https://open-data.grow.mobi/api/v1/gbfs/
Dott,0a899e3a-705a-46f2-9189-d78cc83a2db4,https://ridedott.com,https://SPP.api.ridedott.com,https://gbfs.api.ridedott.com
Superpedestrian,420e6e94-55a6-4946-b6b3-4398fe22e912,https://www.superpedestrian.com,https://SPP.linkyour.city/SPP,
Circ,03d5d605-e5c9-45a1-a1dd-144aa8649525,https://www.circ.com,https://SPP.bird.co,
GIG,42475742-8618-4fc0-aa8f-3b3948b84b85,https://gigcarshare.com/,https://global.us.prod.svc.ridecell.io/reporting/api/SPP,
Zisch,fb62cfe6-757c-4e5b-a264-18b43b3fc40b,https://www.e-zisch.ch,https://SPP.bird.co,
Seven Group,7fca7812-c718-48dd-b9f2-d1ae160f2ae4,https://www.group-seven.ch,https://SPP.bird.co,
Pony,f190d330-b49e-4590-871b-0bcbec565a8c,https://getapony.com/,https://SPP.getapony.com/v1,
SHARE-NOW,d8f880d6-96d8-4cdc-8069-32a683b2bce6,https://www.share-now.com,https://external.share-now.com/api/rental/SPP/,https://external.share-now.com/api/rental/SPP/gbfs/
Boaz Bikes,7c96bc58-fb63-433a-b77f-84ccb1c9d737,https://www.boazbikes.com/,https://SPP.movatic.co/,https://gbsf.movatic.co/en/1.1/576347857979998215
VeoRide INC.,6e39f9db-751b-5cea-ae7e-486f579a56bc,https://www.veoride.com/,https://cluster-prod.veoride.com/api/shares/SPP,https://cluster-prod.veoride.com/api/shares/gbfs
